,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
10509,20600599,0,1610612762,UTA,Utah,38,13,7,11,5,5,0,16,13,12,1610612741,CHI,Chicago,36,2,21,4,1,18,11,18
10510,20600597,0,1610612751,NJN,New Jersey,26,12,11,15,12,7,1,11,8,14,1610612753,ORL,Orlando,16,6,9,15,3,21,7,27
10511,20600595,0,1610612738,BOS,Boston,46,23,18,6,4,6,3,21,14,26,1610612764,WAS,Washington,46,18,15,21,0,12,12,14
10512,20600594,0,1610612754,IND,Indiana,44,21,14,2,1,4,0,9,9,10,1610612752,NYK,New York,38,7,0,15,0,20,11,28
10513,20600592,0,1610612746,LAC,Los Angeles,60,16,12,25,7,7,0,12,7,18,1610612763,MEM,Memphis,38,2,14,4,0,21,6,28
10514,20600596,0,1610612765,DET,Detroit,34,9,8,28,0,0,0,14,12,16,1610612758,SAC,Sacramento,28,7,13,0,1,14,11,15
10515,20600601,0,1610612739,CLE,Cleveland,50,15,15,5,8,6,1,28,13,27,1610612744,GSW,Golden State,38,17,19,19,0,19,12,25
10516,20600600,0,1610612743,DEN,Denver,36,22,9,11,3,4,0,15,13,13,1610612745,HOU,Houston,34,18,14,13,1,17,10,16
10517,20600593,0,1610612766,CHA,Charlotte,54,9,4,22,3,1,2,15,10,14,1610612737,ATL,Atlanta,42,10,10,2,1,17,3,19
10518,20600604,0,1610612750,MIN,Minnesota,28,9,4,3,4,3,0,12,11,20,1610612756,PHX,Phoenix,60,12,28,36,0,8,6,7
10519,20600605,0,1610612757,POR,Portland,36,10,7,20,1,1,1,14,7,9,1610612749,MIL,Milwaukee,42,9,11,2,0,9,8,12
10520,20600603,0,1610612759,SAS,San Antonio,42,15,8,22,0,1,4,11,10,15,1610612755,PHI,Philadelphia,40,17,15,0,0,9,7,10
10521,20600602,0,1610612748,MIA,Miami,38,5,9,0,0,1,1,8,8,16,1610612742,DAL,Dallas,32,19,17,14,1,12,6,10
10522,20600608,0,1610612754,IND,Indiana,36,12,14,20,10,4,2,20,12,20,1610612741,CHI,Chicago,28,9,13,2,1,22,6,21
10523,20600612,0,1610612762,UTA,Utah,48,12,15,18,7,2,0,8,9,10,1610612750,MIN,Minnesota,32,9,10,6,1,16,10,19
10524,20600611,0,1610612743,DEN,Denver,62,14,30,25,0,1,0,14,17,16,1610612763,MEM,Memphis,54,19,19,0,0,20,9,32
10525,20600614,0,1610612744,GSW,Golden State,56,12,19,8,18,10,0,20,7,25,1610612747,LAL,Los Angeles,34,16,11,7,1,24,13,28
10526,20600606,0,1610612761,TOR,Toronto,50,14,11,28,2,3,0,14,10,13,1610612766,CHA,Charlotte,44,11,21,4,1,16,9,26
10527,20600615,0,1610612755,PHI,Philadelphia,44,10,17,20,6,3,0,16,11,20,1610612740,NOK,New Orleans/Oklahoma City,46,19,26,2,0,15,8,17
10528,20600619,0,1610612760,SEA,Seattle,62,18,19,13,7,7,5,19,9,22,1610612743,DEN,Denver,50,18,6,9,0,14,9,22
10529,20600616,0,1610612756,PHX,Phoenix,54,17,23,29,1,3,0,15,6,17,1610612764,WAS,Washington,44,12,14,2,0,10,6,10
10530,20600620,0,1610612746,LAC,Los Angeles,60,13,13,25,1,2,0,11,12,11,1610612749,MIL,Milwaukee,52,8,6,2,0,10,9,16
10531,20600618,0,1610612737,ATL,Atlanta,26,12,8,2,2,3,0,16,11,14,1610612741,CHI,Chicago,40,14,11,18,2,18,14,17
10532,20600617,0,1610612753,ORL,Orlando,26,5,8,0,0,0,0,12,13,18,1610612742,DAL,Dallas,42,7,20,25,1,8,5,8
10533,20600623,0,1610612755,PHI,Philadelphia,36,14,14,6,23,14,1,18,7,18,1610612739,CLE,Cleveland,46,34,2,8,1,14,21,12
10534,20600626,0,1610612756,PHX,Phoenix,46,11,11,17,7,4,0,16,11,13,1610612752,NYK,New York,60,28,2,10,2,23,12,26
10535,20600625,0,1610612737,ATL,Atlanta,26,15,12,8,1,1,3,13,12,4,1610612738,BOS,Boston,34,18,9,18,1,14,12,9
