PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,lower body injury,first_name,last_name,id,full_name,is_active
Bojan Bogdanovic,19-20,19.5,31.0,80.0,226.0,63,33.1,0.252,99.45,4328,14.8,9.1,4.6,2.8,2.42,4.11,4.1,2.3,44.4,35.8,2.54,1.89,0.4,1.0,0.9,Jazz,2019-10-25,2019-10-26,1.0,Sprained_ankle,2020-05-18,Jazz,surgery on right wrist (out for season),1,wrist,Hand,1,2020.0,5.0,0,Bojan,Bogdanovic,202711,Bojan Bogdanovic,1
Bol Bol,19-20,19.5,20.0,86.0,220.0,7,12.4,0.206,98.55,177,4.0,0.9,0.6,0.1,0.93,4.14,0.6,0.1,14.1,9.0,1.93,1.03,0.1,0.4,2.0,,,,,,,,,0,,,0,,,0,Bol,Bol,1629626,Bol Bol,1
Brad Wanamaker,19-20,19.5,30.0,75.0,210.0,71,19.3,0.152,101.46,2888,5.1,3.9,1.7,1.4,1.39,4.04,1.6,0.6,38.7,14.0,4.21,3.93,0.3,0.0,0.5,,,,,,,,,0,,,0,,,0,Brad,Wanamaker,202954,Brad Wanamaker,0
Bradley Beal,19-20,19.5,27.0,75.0,207.0,57,36.0,0.338,103.64,4432,22.9,16.1,7.6,5.1,2.69,4.18,9.3,3.9,79.0,54.4,3.43,2.91,0.9,0.5,1.4,,,,,,,,,0,,,0,,,0,Bradley,Beal,203078,Bradley Beal,1
Brandon Clarke,19-20,19.5,23.0,80.0,215.0,58,22.4,0.18,106.13,2866,8.3,1.5,1.0,0.3,1.77,4.4,0.9,0.0,39.1,22.7,1.43,0.62,3.1,0.5,5.6,,,,,,,,,0,,,0,,,0,Brandon,Clarke,1629634,Brandon Clarke,1
Brandon Goodwin,19-20,19.5,24.0,72.0,180.0,34,12.7,0.22,104.54,938,5.6,4.4,1.6,2.2,1.0,4.38,1.7,0.9,28.2,10.6,4.77,4.36,0.2,0.0,0.4,,,,,,,,,0,,,0,,,0,Brandon,Goodwin,1629164,Brandon Goodwin,0
Brandon Ingram,19-20,19.5,22.0,79.0,190.0,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3.0,Sore_knee,2019-11-11,Pelicans,sore right knee (DTD),0,knee,Leg,1,2019.0,11.0,0,Brandon,Ingram,1627742,Brandon Ingram,1
Brandon Ingram,19-20,19.5,22.0,79.0,190.0,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3.0,Sore_knee,2020-02-08,Pelicans,sprained right ankle (DTD),0,ankle,Leg,1,2020.0,2.0,0,Brandon,Ingram,1627742,Brandon Ingram,1
Brandon Ingram,19-20,19.5,22.0,79.0,190.0,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3.0,Sore_knee,2020-08-10,Pelicans,sore right knee (out for season),1,knee,Leg,1,2020.0,8.0,0,Brandon,Ingram,1627742,Brandon Ingram,1
Brandon Knight,19-20,19.5,28.0,74.0,182.0,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Pistons,2020-02-07,2020-02-10,3.0,Sore_knee,2020-02-07,Pistons,placed on IL with sore left knee,0,knee,Leg,1,2020.0,2.0,0,Brandon,Knight,202688,Brandon Knight,0
Brandon Knight,19-20,19.5,28.0,74.0,182.0,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Pistons,2020-02-07,2020-02-10,3.0,Sore_knee,2020-03-08,Pistons,strained right hamstring (DTD),0,hamstring,Leg,1,2020.0,3.0,0,Brandon,Knight,202688,Brandon Knight,0
Brandon Knight,19-20,19.5,28.0,74.0,182.0,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Cavaliers,2020-01-17,2020-02-04,18.0,Sore_knee,2019-11-20,Cavaliers,placed on IL with sprained right ankle,0,ankle,Leg,1,2019.0,11.0,0,Brandon,Knight,202688,Brandon Knight,0
Brandon Knight,19-20,19.5,28.0,74.0,182.0,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Cavaliers,2020-01-17,2020-02-04,18.0,Sore_knee,2020-01-17,Cavaliers,placed on IL with sore left knee,0,knee,Leg,1,2020.0,1.0,0,Brandon,Knight,202688,Brandon Knight,0
Brian Bowen II,19-20,19.5,21.0,78.0,190.0,6,5.2,0.143,98.11,65,1.7,0.2,0.2,0.0,0.41,4.35,0.2,0.0,4.8,3.2,2.17,1.24,0.0,0.2,0.5,,,,,,,,,0,,,0,,,0,Brian,Bowen II,1628968,Brian Bowen II,0
Brook Lopez,19-20,19.5,32.0,84.0,282.0,68,26.7,0.181,106.6,4054,9.9,1.3,0.8,0.1,1.88,3.98,1.0,0.1,33.6,22.0,1.48,0.44,1.6,2.8,3.0,,,,,,,,,0,,,0,,,0,Brook,Lopez,201572,Brook Lopez,1
Bruce Brown,19-20,19.5,23.0,76.0,202.0,58,28.2,0.159,98.0,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2.0,Sore_knee,2019-12-23,Pistons,placed on IL with calf injury,0,calf,Leg,1,2019.0,12.0,0,Bruce,Brown,1628971,Bruce Brown,1
Bruce Brown,19-20,19.5,23.0,76.0,202.0,58,28.2,0.159,98.0,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2.0,Sore_knee,2020-01-22,Pistons,placed on IL with illness,0,other,Others,1,2020.0,1.0,0,Bruce,Brown,1628971,Bruce Brown,1
